id,num_orders
1028232,102.56
1127204,85.06
1212707,127.38
1082698,80.18
1400926,57.76
1284113,242.42
1197966,287.78
1132739,242.28
1057981,112.42
1095932,131.38
1454421,167.54
1149765,180.04
1166964,404.84
1010949,307.06
1409575,53.88
1181616,28.52
1456020,194.14
1264395,224.94
1472931,57.18
1412015,81.4
1461229,141.62
1014564,192.76
1485914,79.24
1345389,107.92
1006833,146.58
1174921,28.22
1175393,18.22
1152412,32.04
1497398,37.78
1363486,25.14
1366766,37.56
1192413,22.62
1319547,260.78
1337684,174.7
1479766,203.72
1460444,1459.72
1139730,585.48
1115056,343.86
1335827,123.4
1385333,785.28
1096323,802.1
1230693,995.48
1027016,133.44
1181520,109.14
1306234,200.2
1271440,1053.3
1269834,571.24
1176823,1032.62
1193098,77.82
1034878,57.68
1010243,143.82
1451807,58.98
1016845,111.26
1198021,218.66
1413802,111.28
1231223,101.4
1274226,680.66
1425142,352.74
1211593,229.92
1419190,60.1
1180223,64.42
1194932,157.74
1323477,161.8
1371595,233.48
1171521,147.12
1052384,249.68
1060921,106.06
1261811,147.26
1246502,203.86
1497466,420.78
1232717,26.48
1136112,30.96
1196334,414.56
1349533,258.24
1463406,274.98
1447686,272.46
1336105,131.42
1012855,457.5
1180646,412.58
1062490,259.1
1098228,1501.46
1101375,905.72
1400016,438.56
1439889,89.42
1408468,73.5
1044490,74.38
1290002,847.76
1190633,740.42
1040430,1140.8
1049366,94.68
1224120,137.58
1293810,199.22
1197335,886.42
1323989,580.3
1129467,1100.32
1229328,70.42
1164395,81.06
1217722,78.74
1171266,73.56
1024905,55.7
1343027,144.9
1141892,83.88
1302404,62.0
1170447,518.06
1140772,789.24
1103484,257.3
1387134,34.18
1117711,29.74
1472121,34.98
1289523,247.14
1091114,493.48
1043572,527.12
1103283,238.58
1265051,128.14
1168741,178.24
1052776,137.06
1206564,201.84
1302153,260.42
1083754,53.12
1097952,49.96
1251605,26.42
1333032,391.18
1086936,252.52
1088412,140.38
1236400,49.56
1244516,80.88
1380381,90.62
1495062,362.14
1439647,250.78
1019214,320.56
1316160,782.94
1022008,483.02
1138248,339.28
1052922,36.96
1181474,88.86
1046475,47.4
1216688,385.48
1067565,554.76
1008328,408.08
1430287,171.4
1406716,216.26
1105380,134.4
1248694,595.18
1252163,263.16
1443474,523.82
1033716,91.26
1300295,70.54
1311882,85.34
1257968,49.06
1226362,110.86
1030655,143.4
1210527,46.28
1278927,51.84
1232239,68.2
1133067,322.78
1382522,566.44
1219136,323.22
1498130,40.12
1251629,40.28
1032092,40.46
1249865,131.68
1207630,218.34
1144733,172.82
1436768,65.78
1148964,55.14
1237346,188.7
1206015,66.44
1105113,215.56
1430481,38.72
1001589,78.18
1224132,69.24
1074380,341.68
1097109,395.94
1211246,228.22
1390579,339.58
1473058,344.86
1186964,132.6
1222837,61.58
1342393,57.76
1170472,259.9
1170791,309.44
1046653,301.08
1195179,197.34
1332509,164.8
1438300,129.54
1435748,363.42
1052668,273.94
1227060,401.76
1342252,113.18
1143109,55.32
1394807,128.84
